string	occurrences	volumes	authors	ignore	alias	comment
CATANIA	41	2	2	0		
Catawba	28	18	15	0		
Catharine	7	5	5	1		
Cato	67	25	21	1		
Catskill	23	11	10	0		
Catskill Mountains	6	6	6	0		
Catskills	8	7	5	0	Catskill Mountains	
Caucasus	21	10	7	0		
Cawnpore	17	2	2	0		
Cayuga	13	5	5	0		
Cecil	8	3	3	1		
Cedar	10	8	8	1		
Cedar Creek	7	4	3	0		
Cedar Grove	5	3	3	0		
Celestial City	42	13	11	1		
Celestial Country	8	2	2	1		
Central Africa	11	9	9	0	Congo	Congo
Central America	41	19	17	0		
Central Park	26	20	16	0		
Centreville	110	12	9	0		
Ceres	34	20	17	1		
Chagres	40	13	11	0		
Chalmette	7	3	3	0		
Chambersburg	7	2	2	0		
Chamouni	24	12	11	0		
Champe	8	3	3	0		
Champlain	10	5	5	0		
Chancellorsville	127	16	12	0		
Chancellorville	6	3	3	0	Chancellorsville	Chancellorsville
Chancery	8	6	6	0	London	London
Chancery Lane	5	2	2	0	London	London
Chantilly	10	8	5	0		
Chapel	16	12	12	1		
Charity Hospital	6	4	4	1		
Charlemagne	15	9	9	0		
Charlemont	17	2	2	0		
Charles	18	12	12	1		
Charles City	13	5	2	0		
Charles River	15	11	11	0		
Charleston	784	130	87	0		
Charleston Hotel	6	4	2	1		
Charleston South Carolina	19	15	14	0		
Charlestown	98	39	34	0	Charleston South Carolina	
Charlestown Neck	6	2	2	0	Charlestown, Boston, MA	Charlestown, Boston, MA
Charley	9	7	6	1		
Charlotte	951	54	46	1		Almost always a name
Charlotte Bronté	6	2	2	1		
Charlotte Charlotte	81	16	15	1		
Charlotte Charlotte Charlotte	15	6	6	1		
CHARLOTTE CUSHMAN	5	5	5	1		
Charlottesville	11	8	7	0		
Charon	7	4	4	0		
Chartres	11	7	6	0		
Chatham	80	44	33	0		Ambiguous, but leaving in
Chatham Square	19	9	8	0		
Chatham Street	22	12	11	0		
Chatsworth	6	2	2	0		
Chattahoochee	13	3	2	0		
Chattanooga	39	8	6	0		
Chaudiere	10	2	2	0		
Chelonians	6	2	2	1		
Chelsea	7	7	7	0		
Cheltenham	20	2	2	0		
Cheops	15	9	9	1		Mostly name, not pyramid
Cherbourg	5	5	4	0		
Chesapeake	66	35	22	0		
Chesapeake Bay	25	16	12	0		
Cheshire	36	9	8	0	Cheshire West and Chester, England, UK	County in England
Chester	29	16	15	0		
Chesterfield	26	22	20	0		
Chesterton	26	2	2	0		
Chestnut	19	11	7	1		Ambig
Chiaja	7	2	2	0		
Chicago	237	84	62	0		
Chickahominy	66	13	9	0		
Chickamauga	13	6	6	0		
Chihuahua	5	2	2	0		
Chile	111	58	44	1		Dialect "Child"
chile chile	8	4	4	1		
chile chile chile	8	5	5	1		
Chili	10	6	6	1		
Chimney Rock	21	3	3	0		
china	659	284	184	0		
China China	8	3	3	1		
China Sea	5	4	4	0		
Chinese	9	9	9	1		
Chippewa	43	11	11	0		
Chittagong	5	2	2	0		
Chocorua	12	2	2	0		
Christendom	228	143	109	1		
Christian	10	9	9	1		
Church England	10	4	4	1		
CHURCHILL	10	4	4	0		
Cicero	36	28	25	1		
Cilicia	7	5	5	0		
Cincinnati	411	126	82	0		
Cincinnati Ohio	6	6	6	0		
Cinderella	14	13	12	1		
Circassia	21	13	12	0		
Circassian	8	6	6	1		
Circean	5	5	5	1		
city	78	51	43	1		
City Hospital	6	6	6	1		
City Mexico	5	3	3	0		
CIV	7	7	7	1		
Civita Vecchia	11	6	6	0		
Clapham	6	2	2	0		
Clara	755	87	57	1		
Clara Clara	21	16	13	1		
Clara Clara Clara	5	4	4	1		
CLAREMONT	26	2	2	0		
Clarendon	24	9	9	0		
Clarinda	7	3	2	0		
Cleaveland	25	3	2	0	Cleveland	Spelling
Cleopatra	6	6	6	1		
Clermont	23	5	5	1		Ambig and name
Cleveland	174	40	31	0		
Cleveland Cleveland	8	3	3	0	Cleveland	Cleveland
Cleveland Ohio	5	3	3	0		
Clifford	19	6	6	1		
Clifton	11	6	6	0		
Cloisterham	111	2	2	1		Fictional (for Rochester, England)
Clonmel	6	3	3	0		
Coast	7	6	5	1		
Cobb	9	5	4	1		
Cochin China	7	4	4	0	Vietnam	Cochinchina = Vietnam
Colburne	17	2	2	1		Personal name
Colchester	37	5	5	0		
Cold Harbor	15	3	2	0		
Coleridge	8	8	8	1		
Colmar	17	2	2	0		
cologne	82	48	41	0		
Colombia	23	2	2	0	Columbia	Spelling
Colombo	16	8	6	0		
Colonel Beaufort	12	2	2	1		
Colonel Belleville	5	2	2	1		
Colonel Beverly	11	2	2	1		
Colorado	73	28	24	0		
Colorado River	6	3	3	0		
Columbia	22	15	15	0		
Columbia County	5	4	4	0		
Columbia South Carolina	5	4	4	0		
Columbus	159	93	68	1		Usually Christopher
Commonwealth Massachusetts	5	4	4	0	Massachusetts, USA	
CONCORD	141	39	31	0	Concord Mass.	Concord, MA
Conde	6	4	4	0		
Cone	6	3	3	0		
Coney Island	17	14	13	0		
Confederacy	7	6	6	0	#South, USA	#South
Confederate States	17	11	10	0	#South, USA	#South
Congo	43	20	18	0		
Connecticut	467	173	114	0		
Connecticut River	20	11	10	0		
Conneticut	9	2	2	0	Connecticut	
Conrad	10	6	4	1		
Constantinople	226	58	47	0	Istanbul	Istanbul
Conyngham	9	2	2	0		
Coon	6	3	3	1		
Copenhagen	43	18	16	0		
Copley	16	7	5	1		
Copperhead	31	10	10	1		
Coquimbo	5	2	2	0		
Cora	33	12	12	1		
Corfu	9	4	4	0		
Corinth	56	30	26	0	Corinth, Greece	Corinth, Greece
Corinthians	10	10	10	1		
Cork	36	12	9	0		
Cornelia	21	5	5	1		
Cornhill	7	5	5	0		
Cornish	13	7	6	1		
Cornwall	46	21	18	0	Cornwall, England	Cornwall, England
Corpus Christi	29	9	8	0		
Correggio	18	16	14	0		
Corsica	35	13	11	0		
Corunna	15	7	7	0		
CORYDON	27	11	7	0		
Costa Rica	13	2	2	0		
Cotton States	11	7	6	0	#South, USA	#South
Cottonwood	7	4	4	0		
County	36	32	29	1		
County New York	7	4	4	1		
Courtlandt	11	3	3	0		
Cove	5	4	4	1		
Covington	10	5	5	1		Ambig
Cow Bay	20	6	5	0		
Cowes	23	8	7	0		
Cowpens	9	7	5	0		
CRACOW	23	4	4	0		
Crawford	19	3	2	0		
Creek	9	6	6	1		
Creighton	8	2	2	0		
Cremona	13	4	4	1		Cremona violin
Creole	5	4	4	1		
Crescent City	15	14	13	0	New Orleans, LA	New Orleans
Crete	15	9	9	0		
Crimea	52	24	20	0		
Crissy	9	3	2	1		
Cromwell	13	12	11	1		
Croton	29	25	23	0		
Crow	11	6	4	1		
Cuba	498	138	99	0		
Cuba Cuba	10	3	3	1		
Cuban	8	6	6	1		
Culloden	16	7	7	0		
Culpeper	61	3	2	0		
Cum	6	5	4	1		
Cumberland	117	36	34	0		
Cumberland Mountains	6	6	5	0	Virginia, USA	Virginia, USA
Cumberland river	9	6	6	0		
Cumberland valley	10	3	3	0		
Cush	5	5	4	1		
Cuyahoga	31	3	3	0		
Cyclades	7	5	4	0		
Cynthia	7	3	3	1		
Cyprus	22	17	17	0		
D'Artagnan	25	3	2	0		
Dacca	5	3	2	0		
Dade	33	11	5	1		Mostly an Irish ejac, some personal name
Dahomey	21	10	8	0	Benin	Benin
Daisy	12	6	6	1		
Dallas	509	5	5	1		Almost all from R.H. Davis -Dallas Galbraith-
Dallas Dallas	76	2	2	1		
Dalton	19	6	6	0		
Damascus	257	55	44	0		
Damocles	15	15	14	1		
DANBURY	72	5	5	0		
Danes	17	11	10	1		
Dantzic	7	2	2	0	Gdansk, Poland	Gdansk, Poland = Danzig
Danube	33	18	17	0		
Danvers	15	9	8	0		
Danville	15	5	5	0		
Dar	5	5	5	0		
Darien	10	9	7	0		
Darlington	69	6	6	0		
DARWIN	5	2	2	1		
Datchery	10	2	2	1		Personal name
Dauphin	23	8	7	0		
Dayton	24	12	11	0		
Dead Sea	74	37	35	0	Dead Sea, Jordan	
Dearborn	23	5	5	0		
Decatur	21	8	7	0		
Dedham	66	5	5	0		
Deerfield	16	7	7	0		
Delaware	259	85	61	0		
Delaware Bay	6	4	4	0		
Delaware River	5	3	3	0		
Delft	6	4	3	0		
Delhi	21	6	6	0		
Delia	24	7	6	0		
Delmonico	28	19	17	0	56 Beaver St, New York, NY	56 Beaver St, NY, NY
Denmark	61	40	35	0		
Denton	16	4	4	0		
Denver	13	5	4	0		
Derienni	54	2	2	0		
Derry	29	6	6	0		
Desert	11	9	8	1		
Desert Sahara	7	5	5	0	Africa	Africa. Stupid Google.
Despond	8	7	5	1		
Detroit	110	39	30	0		
Deuteronomy	17	16	14	1		
Devil	5	5	5	1		
Devon	14	8	7	0	Devon, GB	Devon, GB
Devonshire	24	16	8	0		
Dewey	22	4	3	1		
Dewitt	6	2	2	1		
Dickens	16	16	15	1		
Dieppe	16	7	7	0		
District	25	19	16	1		
District Attorney	11	9	9	1		
District Columbia	12	12	11	0	Washington, DC	DC
Divine Providence	6	6	6	1		
Dixie	13	9	9	0	#South, USA	#South
Doc	11	2	2	1		
Dolores	8	3	3	1		
DOLOROSA	15	11	7	1		
Dolphin	13	3	3	1		
Dominican	11	7	7	1		
Donegal	21	3	3	0		
Dora	151	22	20	1		
Dorchester	15	13	13	0		
Dorset	7	5	4	0		
Dover	122	48	37	0		
Dover Street	5	5	3	0	Boston, MA	Boston, MA
Down East	14	8	7	0	Maine	Maine
Dresden	48	18	17	0		
Dublin	228	59	48	0		
Dubuque	13	5	5	0		
Dudley	11	3	2	0		
Duke	45	18	16	1		
Dunkirk	10	6	5	0		
Dunmore	9	2	2	0		
Dunstable	8	6	6	0		
Durdles	27	2	2	1		Personal name
Durham	54	18	17	0		
Düsseldorf	16	10	10	0		
Dutch	10	10	9	1		
Dutchess county	6	3	3	0		
Eagle Pass	18	2	2	0		
Earl	370	24	21	1		
Earl Leicester	6	2	2	1		
Earle	17	2	2	1		
Earles	8	3	3	1		
earnest	2011	678	310	1		
Earth	319	193	131	1		
East	625	296	178	0	#East, USA	#East
East Boston	5	3	3	0	Boston, MA	
East India	45	39	34	0		
East Indies	95	53	39	0		
East River	85	54	36	0	East River New York	East River, NY
East Room	10	5	4	1		
East Tennessee	32	11	10	0	Tennessee	Tennessee
Eastern Pennsylvania	5	4	4	0	Pennsylvania	Pennsylvania
Eastern States	39	30	26	0	#East, USA	#East
Easton	20	3	3	0		
Eastport	7	4	4	0		
Eaton	31	4	4	0		
Ebenezer	16	9	8	1		
Eblis	7	6	6	0		
Ecclesiastes	14	14	12	1		
Eda	8	2	2	1		
Eden	192	130	93	1		
Edenton	6	2	2	0		
Edgar	9	4	4	1		
Edgefield	17	2	2	0		
Edgehill	73	5	4	0		
Edinburg	8	6	5	0		
Edinburgh	54	36	32	0		
Edisto	7	3	3	0		
Edith	17	10	9	1		
Edward	34	24	20	1		
